x,y,z
-171.82,37.02,-22.24
-168.56,36.727,-20.66
-169.7226,36.688,-21.9805
-171.82,37.02,-22.24
-171.82,36.718,-22.24
-172.7504,36.688,-23.66786
-171.3484,36.688,-25.08234
-168.6992,36.688,-23.68895
-169.9085,36.688,-25.46193
-172.0294,36.688,-24.1078
-172.1086,36.718,-23.91166
32.31,21.48,26.21
25.81118,21.328,26.10448
20.54031,21.328,24.65023
20.75988,21.38467,24.7084
19.58991,21.328,24.46004
21.29785,21.328,22.16191
23.42217,21.328,19.56305
23.31571,21.36091,18.126
22.5834,21.328,12.6171
20.9739,22.1294,13.16264
19.70434,21.39277,14.75218
20.36467,21.38467,14.5649
20.36467,21.38467,14.5649
20.35952,21.328,14.87587
20.4285,21.328,14.68539
20.5786,21.328,15.41948
21.23569,22.38354,16.07144
25.03028,21.328,26.91834
22.01264,21.38467,20.13937
21.22358,21.328,20.28011
20.69019,21.328,21.92552
21.42981,21.328,25.36153
20.31814,21.328,29.34271
16.96645,21.328,30.4982
12.78207,21.328,29.63958
12.10268,21.328,31.88169
13.54074,22.82137,31.032
10.24846,21.328,28.73808
9.786106,21.328,31.28522
12.04244,21.328,34.04961
12.65921,21.328,34.84504
12.57942,21.38467,34.63966
9.589245,21.328,27.56889
6.916188,21.89221,27.34257
4.122623,21.328,30.72243
1.7975,21.84888,31.85462
-85.93582,4.446383,24.34521
1.308548,21.328,20.45205
4.855053,21.328,22.73654
6.614117,21.328,25.59721
6.511442,21.92952,26.20062
9.382011,21.328,25.01452
12.27134,21.328,23.93433
40.59241,21.328,27.6777
22.63791,21.328,28.17406
23.97869,21.328,25.14464
32.50659,21.328,24.63069
37.03012,21.328,24.30995
35.70824,21.38467,23.80258
35.70824,21.38467,23.80258
35.70824,21.38467,23.80258
38.03787,21.328,27.07255
40.78976,21.328,25.26167
44.36525,21.328,21.06569
45.91581,22.24652,21.91538
44.9989,21.328,20.68641
44.10804,22.80239,21.91538
40.30591,21.328,19.85403
40.88616,21.328,17.87428
42.00575,21.328,17.41932
42.29459,21.328,14.1273
43.29474,21.328,13.46791
44.18335,22.0513,14.83919
43.75932,21.90605,14.27615
42.55669,21.328,16.49878
41.92853,21.328,17.40034
43.30175,21.328,19.2277
41.91504,21.328,23.28617
40.98004,21.328,25.57463
40.71384,21.328,33.10984
42.96225,22.1063,38.71255
43.30104,22.61896,38.81909
43.37354,22.99141,38.84751
42.78807,22.43686,38.67363
45.23531,21.328,39.17524
42.82458,21.328,37.64814
44.22232,21.99809,39.36145
43.88047,22.33236,39.1094
43.38618,23.35925,38.85268
45.12686,22.28136,40.63829
44.75068,22.02692,39.93619
45.42652,21.38467,39.60355
45.42652,21.38467,39.60355
43.58493,21.328,36.76197
41.42753,21.328,37.36969
42.02397,21.328,37.78033
42.66993,21.328,37.55453
43.56103,22.44464,38.93093
42.38464,23.57109,38.62225
42.33405,21.328,36.19991
42.45013,21.328,34.29872
42.44152,21.38467,34.52282
43.34719,22.80437,38.83694
40.22782,21.32862,39.31739
34.90265,21.328,37.80182
32.50216,21.328,39.03514
27.74132,21.72122,36.01825
28.04123,21.328,30.6835
31.6857,22.23918,31.13351
31.43225,21.38467,31.11778
-52.14,12.146,56.47
-52.14,12.05133,56.47
-52.14,12.05133,56.47
23.31571,18.11618,17.85869
-45.98889,12.05133,51.46003
-47.52943,12.008,52.9691
-48.75763,12.05133,52.45031
-48.75763,12.05133,52.45031
-51.16537,12.008,54.47284
-49.32659,12.008,56.91806
-51.8457,12.008,61.54826
-56.77262,12.008,61.94266
-58.59032,12.008,64.76746
-60.98345,12.008,62.03297
-61.73468,12.008,64.31777
-63.27217,12.008,61.99585
-63.11015,12.05133,62.20501
-63.7845,12.008,66.4799
-61.64054,12.008,64.85107
-61.31704,12.008,65.35217
